Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1972,Manchester,,,Division 1,42,19,10,13,69,61,48,8,22,8,R6,R4,,,,,,,1,0–3,0,3,,,1,1,2–2,2,2,,1,,2,0,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,2,5
1973,Manchester,,,Division 1,42,12,13,17,44,60,37,18,22,18,R3,R3,,,,,,,1,2–0,2,0,1,,,1,0-2,0,2,,,1,2,1,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1974,Manchester,,Y,Division 1,42,10,12,20,38,48,32,21,22,21,R4,R2,,,,,,,1,0–0,0,0,,1,,1,0-2,0,2,,,1,2,0,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,2
1975,Manchester,Y,,Division 2,42,26,9,7,66,30,61,1,22,23,R3,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1976,Manchester,,,Division 1,42,23,10,9,68,42,56,3,22,3,Runners-up,R4,,,,,,,1,0–0,0,0,,1,,1,1-3,1,3,,,1,2,0,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,3
1977,Manchester,,,Division 1,42,18,11,13,71,62,47,6,22,6,W,R5,,UEFA Cup – R2,,,,,1,0–0,0,0,,1,,1,0-1,0,1,,,1,2,0,1,1,0,1,1,,,,,,,,,,,,,,,1,2-1,2,1,1,,,1,1,,,2,1,3,1,1,1,2,2
1978,Manchester,,,Division 1,42,16,10,16,67,63,42,10,22,10,R4,R2,W,Cup Winners' Cup – R2,,,,,1,2–0,2,0,1,,,1,1-3,1,3,,,1,2,1,0,1,3,3,2,,,,,,,,,,,,,,,1,0-0,0,0,,1,,1,,1,,0,0,3,1,1,1,3,3
1979,Manchester,,,Division 1,42,15,15,12,60,63,45,9,22,9,Runners-up,R3,,,,,,,1,0–3,0,3,,,1,1,0-2,0,2,,,1,2,0,0,2,0,5,0,,,,,,,,,,,,,,,2,"2-2, 1-0",3,2,1,1,,2,1,1,,3,2,4,1,1,2,3,7
1980,Manchester,,,Division 1,42,24,10,8,65,35,58,2,22,2,R3,R3,,,,,,,1,2–1,2,1,1,,,1,0-2,0,2,,,1,2,1,0,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,3
1981,Manchester,,,Division 1,42,15,18,9,51,36,48,8,22,8,R4,R2,,UEFA Cup – R1,,,,,1,0–0,0,0,,1,,1,1-0,1,0,1,,,2,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,0
1982,Manchester,,,Division 1,42,22,12,8,59,29,78,3,22,3,R3,R2,,,,,,,1,0–1,0,1,,,1,1,2-1,2,1,1,,,2,1,0,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1983,Manchester,,,Division 1,42,19,13,10,56,38,70,3,22,3,W,Runners-up,,UEFA Cup – R1,,,,,1,1–1,1,1,,1,,1,0–0,0,0,,1,,2,0,2,0,1,1,2,,,,,,,,,,,,,,,1,1-2,1,2,,,1,1,,,1,1,2,3,0,2,1,2,3
1984,Manchester,,,Division 1,42,20,14,8,71,41,74,4,22,4,R3,R4,W,Cup Winners' Cup – SF,,,,,1,1–0,1,0,1,,,1,1–1,1,1,,1,,2,1,1,0,2,1,4,,,,,,,,,,,,,,,1,2-0,2,0,1,,,1,1,,,2,0,3,2,1,0,4,1
1985,Manchester,,,Division 1,42,22,10,10,77,47,76,4,22,4,W,R3,,UEFA Cup – QF,,,,,1,1–1,1,1,,1,,1,1-0,1,0,1,,,2,1,1,0,2,1,4,,,,,,,,,,,,,,,2,"2-2, 2-1",4,3,1,1,,2,1,1,,4,3,4,2,2,0,6,4
1986,Manchester,,,Division 1,42,22,10,10,70,36,76,4,22,4,R5,R4,Runners-up,,,,,,1,1–1,1,1,,1,,1,1–1,1,1,,1,,2,0,2,0,2,2,2,,,,,,,,1,1-2,1,2,,,1,,,,,,,,1,,,1,1,2,3,0,2,1,3,4
1987,Manchester,,,Division 1,42,14,14,14,52,45,56,11,22,11,R4,R3,,,,,,,1,1–0,1,0,1,,,1,1-0,1,0,1,,,2,2,0,0,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,2,0
1988,Manchester,,,Division 1,40,23,12,5,71,38,81,2,22,2,R5,R5,,,,,,,1,1–1,1,1,,1,,1,3–3,3,3,,1,,2,0,2,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,4,4
1989,Manchester,,,Division 1,38,13,12,13,45,35,51,11,21,11,R6,R3,,,,,,,1,3–1,3,1,1,,,1,0-1,0,1,,,1,2,1,0,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,2
1990,Manchester,,,Division 1,38,13,9,16,46,47,48,13,20,13,W,R3,,,,,,,1,1–2,1,2,,,1,1,0–0,0,0,,1,,2,0,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,2
1991,Manchester,,,Division 1,38,16,12,10,58,45,59,6,20,6,R5,Runners-up,W,,,W,,,1,1–1,1,1,,1,,1,0-4,0,4,,,1,2,0,1,1,1,5,1,1,3-1,3,1,1,,,,,,,,,,1,1-1,1,1,,1,,2,1,1,,4,2,4,1,2,1,5,7
1992,Manchester,,,Division 1,42,21,15,6,63,33,78,2,22,2,R4,W,,"Cup Winners' Cup – R2
		",,,W,,1,0–0,0,0,,1,,1,0-2,0,2,,,1,2,0,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,2
1993,Manchester,,,Division 1,42,24,12,6,67,31,84,1,22,1,R5,R3,,UEFA Cup – R1,,,,,1,2–2,2,2,,1,,1,2-1,2,1,1,,,2,1,1,0,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,3
1994,Manchester,,,Division 1,42,27,11,4,80,38,92,1,22,1,W,Runners-up,W,Champions League – R2,,,,,1,1–0,1,0,1,,,1,3–3,3,3,,1,,2,1,1,0,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,3
1995,Manchester,,,Division 1,42,26,10,6,77,28,88,2,22,2,Runners-up,R3,W,Champions League – Group,,,,,1,2–0,2,0,1,,,1,0-2,0,2,,,1,2,1,0,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1996,Manchester,,,Division 1,38,25,7,6,73,35,82,1,20,1,W,R2,,UEFA Cup – R1,,,,,1,2–2,2,2,,1,,1,0-2,0,2,,,1,2,0,1,1,2,4,1,,,,,,,,,,,,,,,1,1-0,1,0,1,,,1,1,,,1,0,3,1,1,1,3,4
1997,Manchester,,,Division 1,38,21,12,5,76,44,75,1,20,1,R4,R4,W,Champions League – SF,,,,,1,1–0,1,0,1,,,1,3-1,3,1,1,,,2,2,0,0,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,4,1
1998,Manchester,,,Division 1,38,23,8,7,73,26,77,2,20,2,R5,R3,W,Champions League – QF,,,,,1,1–1,1,1,,1,,1,3-1,3,1,1,,,2,1,1,0,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,2
1999,Manchester,,,Division 1,38,22,13,3,80,37,79,1,20,1,W,R5,Runners-up,W,,,,,1,2–0,2,0,1,,,1,2–2,2,2,,1,,2,1,1,0,4,2,4,1,2-1,2,1,1,,,,,,,,,,,,,,,,,1,1,,,2,1,3,2,1,0,6,3
2000,Manchester,,,Division 1,38,28,7,3,97,45,91,1,20,1,n/ [27,R3,Runners-up,"Champions League – QF
		Super Cup – Runners-up 
		 
		Club World Championship – Group",,,,W,1,1–1,1,1,,1,,1,3-2,3,2,1,,,2,1,1,0,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,3
2001,Manchester,,,Division 1,38,24,8,6,79,31,80,1,20,1,R4,R4,Runners-up,Champions League – QF,,,,,1,0–1,0,1,,,1,1,0-2,0,2,,,1,2,0,0,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,0,3
2002,Manchester,,,Division 1,38,24,5,9,87,45,77,3,20,3,R4,R3,Runners-up,Champions League – SF,,,,,1,0–1,0,1,,,1,1,1-3,1,3,,,1,2,0,0,2,1,4,0,,,,,,,,,,,,,,,1,1-2,1,2,,,1,1,,,1,1,2,3,0,0,3,2,6
2003,Manchester,,,Division 1,38,25,8,5,74,34,83,1,20,1,R5,Runners-up,,Champions League – QF,,,,,1,4–0,4,0,1,,,1,2-1,2,1,1,,,2,2,0,0,6,1,6,,,,,,,,,,,,,,,1,0-2,0,2,,,1,1,,,1,0,2,3,2,0,1,6,3
2004,Manchester,,,Division 1,38,23,6,9,64,35,75,3,20,3,W,R4,W,Champions League – Round of 16,,,,,1,0–1,0,1,,,1,1,2-1,2,1,1,,,2,1,0,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
2005,Manchester,,,Division 1,38,22,11,5,58,26,77,3,20,3,Runners-up,SF,Runners-up,Champions League – Round of 16,,,,,1,2–1,2,1,1,,,1,1-0,1,0,1,,,2,2,0,0,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,3,1
2006,Manchester,,,Division 1,38,25,8,5,72,34,83,2,20,2,R5,W,,Champions League – Group,,,,,1,1–0,1,0,1,,,1,0–0,0,0,,1,,2,1,1,0,1,0,4,,,,,,,,1,0-1,0,1,,,1,,,,,,,,1,,,1,0,1,3,1,1,1,1,1
2007,Manchester,,,Division 1,38,28,5,5,83,27,89,1,20,1,Runners-up,R4,,Champions League – SF,,,,,1,2–0,2,0,1,,,1,1-0,1,0,1,,,2,2,0,0,3,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,3,0
2008,Manchester,,,Division 1,38,27,6,5,80,22,87,1,20,1,R6,R3,W,W,,,,,1,3–0,3,0,1,,,1,1-0,1,0,1,,,2,2,0,0,4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,4,0
2009,Manchester,,,Division 1,38,28,6,4,68,24,90,1,20,1,SF,W,W,"Champions League – Runners-up 
		Super Cup – Runners-up 
		",,,,W,1,1–4,1,4,,,1,1,1-2,1,2,,,1,2,0,0,2,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,6
2010,Manchester,,,Division 1,38,27,4,7,86,28,85,2,20,2,R3,W,Runners-up,Champions League – QF,,,,,1,2–1,2,1,1,,,1,0-2,0,2,,,1,2,1,0,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,3
2011,Manchester,,,Division 1,38,23,11,4,78,37,80,1,20,1,SF,R5,W,Champions League – Runners-up,,,,,1,3–2,3,2,1,,,1,1-3,1,3,,,1,2,1,0,1,4,5,3,1,1-0,1,0,1,,,,,,,,,,,,,,,,,1,1,,,1,0,3,2,0,1,5,5
2012,Manchester,,,Division 1,38,28,5,5,89,33,89,2,20,2,R4,R5,W,"Champions League – Group
		Europa League – Round of 16",,,,,1,2–1,2,1,1,,,1,1–1,1,1,,1,,2,1,1,0,3,2,4,,,,,,,,1,1-2,1,2,,,1,,,,,,,,1,,,1,1,2,3,1,1,1,4,4
2013,Manchester,,,Division 1,38,28,5,5,86,43,89,1,20,1,R6,R4,,Champions League – Round of 16,,,,,1,2–1,2,1,1,,,1,2-1,2,1,1,,,2,2,0,0,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,4,2
2014,Manchester,,,Division 1,38,19,7,12,64,43,64,7,20,7,R3,SF,W,Champions League – QF,,,,,1,0–3,0,3,,,1,1,0-1,0,1,,,1,2,0,0,2,0,4,0,1,1-0,1,0,1,,,,,,,,,,,,,,,,,1,1,,,1,0,3,1,0,2,1,4
2015,Manchester,,,Division 1,38,20,10,8,62,37,70,4,20,4,R6,R2,,,,,,,1,3–0,3,0,1,,,1,2-1,2,1,1,,,2,2,0,0,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,5,1
2016,Manchester,,,Division 1,38,19,9,10,49,35,66,5,20,5,W,R4,,"Champions League – Group
		Europa League – Round of 16",,,,,1,3–1,3,1,1,,,1,1-0,1,0,1,,,2,2,0,0,4,1,6,1,1-1,1,1,,1,,1,0-2,0,2,,,1,,,,,,,,2,,1,1,1,3,4,2,1,1,5,4
